Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;ASHTON;LA AROMA DEL CARIBE;Mi amor valentino;14,50;25;362,50;60 X 153;Nicaragua;CAT;;;
;ASHTON;LA AROMA DEL CARIBE;Immensa;12,50;24;300,00;50 X 147;Nicaragua;CAT;;;
;ASHTON;LA AROMA DEL CARIBE ;Robusto;11,90;24;285,60;54 X 134;Nicaragua;CAT;;;
;ASHTON;LA AROMA DEL CARIBE;Edicion especial  #2;13,50;25;337,50;50 X 127;Nicaragua;CAT;;;
;ASHTON;LA AROMA DEL CARIBE ;Edicion especial #60;14,50;25;362,50;60 X 153;Nicaragua;CAT;;;
;ASHTON;ASHTON PASION ;Corona gorda;14,00;25;350,00;46 X 131;Nicaragua;CAT;;;
;ASHTON;ASHTON PASION ;Encanto;17,00;25;425,00;60 X 153;Nicaragua;CAT;;;
;ASHTON;ASHTON PASION ;Marveloso;16,50;25;412,50;52 X 153;Nicaragua;CAT;;;
;ASHTON;ASHTON PASION ;Robusto;14,50;25;362,50;50 X 140;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Elegancia grandioso;14,50;25;362,50;60 X 153;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Elegancia robusto;12,90;25;322,50;50 X 127;Nicaragua;CAT;;;
;ASHTON;PARADISO ;Elegancia churchill ;14,00;25;350,00;50 X 178;Nicaragua;CAT;;;
;ASHTON;PARADISO  ;Papagayo xxl;14,50;24;348,00;60 X 153;Nicaragua;CAT;;;
;ASYLUM ;;Nine 90x9 (1);55,00;1;55,00;90 X 229;Nicaragua;CAT;;;
;ASYLUM ;;13 6ixty 9ine x 4our;12,90;20;258,00;69 X 102;Nicaragua;CAT;;;
;ASYLUM ;;Insidious robusto;11,90;25;297,50;50 X 127;Nicaragua;CAT;;;
;ASYLUM ;;13 super goliath;22,00;20;440,00;80 X 204;Nicaragua;CAT;;;
;ASYLUM ;;13 nicaragua goliath ;18,00;20;360,00;80 X 153;Nicaragua;CAT;;;
;ASYLUM ;;13 nicaragua hercule;16,00;20;320,00;70 X 178;Nicaragua;CAT;;;
;AVO;CLASSIC;Classic puritos;32,00;10;320,00;;;ZABIA;;;
;AVO;CLASSIC;Robusto;12,50;20;250,00;;;ZABIA;;;
;AVO;CLASSIC;Toro Grande N°6;16,00;20;320,00;;;ZABIA;;;
;AVO;XO;Notturno (corona);11,00;20;220,00;;;ZABIA;;;
;AVO;XO;Maestoso (churchill);15,50;20;310,00;;;ZABIA;;;
